id,scenario_id,planning_time_x,navigating_time,participant,scenario,planning_time_y,navigation_time,difference_planning,difference_navigation,distance of wrongset
59,1,46.23600006,336.474,59,1,46.238,336.62,0,-0.15,
59,2,37.17700028,298.9719999,59,2,37.177,299.084,0,-0.11,
59,3,71.61699986,532.2610004,59,3,71.617,535.109,0,-2.85,
59,4,48.98500013,343.8769996,59,4,34.16,358.942,14.83,-15.07,10.52
60,1,212.1069996,182.6510003,60,1,212.107,182.927,0,-0.28,
60,2,27.60599995,355.279,60,2,27.606,355.605,0,-0.33,
60,3,197.0849998,136.4640002,60,3,197.085,136.722,0,-0.26,
60,4,84.36000013,711.8820004,60,4,84.363,712.189,0,-0.31,
61,1,62.40299988,279.7309999,61,1,62.403,280.044,0,-0.31,
61,2,32.91299987,327.181,61,2,32.972,327.307,-0.06,-0.13,
61,3,51.56099987,271.1930001,61,3,51.561,271.475,0,-0.28,
61,4,31.70599985,339.0339997,61,4,31.707,339.287,0,-0.25,
62,1,57.50899982,315.4889998,62,1,57.509,315.684,0,-0.2,
62,2,103.4579997,346.483,62,2,109.986,340.479,-6.53,6,
62,3,121.6970003,460.5570002,62,3,121.697,460.799,0,-0.24,
62,4,47.19799995,610.6040001,62,4,47.198,610.933,0,-0.33,
63,1,46.55799961,293.665,63,1,46.558,293.891,0,-0.23,
63,2,78.59399986,303.4650002,63,2,78.596,303.629,0,-0.16,
63,3,50.91300011,289.0190001,63,3,50.967,289.221,-0.05,-0.2,
63,4,43.64199996,287.1570003,63,4,43.642,287.39,0,-0.23,
