participant,scenario,taskId,planning_time,navigation_time
12,2,2.0,11.125,86.202
12,2,3.0,12.262,17.85
12,2,4.0,19.161,144.376
12,3,0.0,0.0,0.0
12,3,1.0,18.382,129.452
12,3,2.0,15.552000000000001,185.957
12,3,3.0,15.883000000000001,106.602
12,3,4.0,27.078,115.11800000000001
12,4,0.0,0.0,0.0
12,4,1.0,9.584999999999999,93.651
12,4,2.0,11.068,94.906
12,4,3.0,11.727,90.98700000000001
12,4,4.0,13.402000000000001,109.753
13,1,0.0,0.0,0.0
13,1,1.0,10.776,23.283
13,1,2.0,12.958,90.94
13,1,3.0,7.54,42.072
13,1,4.0,3.399,64.012
13,2,0.0,0.0,0.0
13,2,1.0,5.25,84.824
13,2,2.0,6.448,37.576
13,2,3.0,2.886,54.75
13,2,4.0,7.97,46.045
13,3,0.0,0.0,0.0
13,3,1.0,10.735000000000001,78.607
13,3,2.0,9.116,45.935
13,3,3.0,9.354000000000001,28.305
13,3,4.0,9.967,71.232
13,4,0.0,0.0,0.0
13,4,1.0,6.128,69.049
13,4,2.0,9.359,126.52900000000001
13,4,3.0,2.088,187.64000000000001
13,4,4.0,4.598,71.467
15,1,0.0,0.0,0.0
15,1,1.0,12.03,81.525
15,1,2.0,2.553,60.617000000000004
15,1,3.0,3.266,100.142
15,1,4.0,3.397,52.488
15,2,0.0,0.0,0.0
15,2,1.0,3.757,143.06300000000002
15,2,2.0,66.09,2.803
15,2,3.0,25.437,24.132
15,2,4.0,15.405000000000001,105.44500000000001
15,3,0.0,0.0,0.0
15,3,1.0,31.069000000000003,134.479
15,3,2.0,15.685,184.941
15,3,3.0,12.780000000000001,55.165
15,3,4.0,18.331,160.53
15,4,0.0,0.0,0.0
15,4,1.0,13.921,155.177
15,4,2.0,31.165000000000003,355.08
15,4,3.0,10.154,188.144
15,4,4.0,3.9050000000000002,161.39600000000002
16,1,0.0,0.0,0.0
16,1,1.0,11.559000000000001,109.17
16,1,2.0,21.166,92.193
16,1,3.0,9.692,53.211
16,1,4.0,20.189,17.253
16,2,0.0,0.0,0.0
16,2,1.0,8.89,125.253
16,2,2.0,8.844,75.83500000000001
