trajectory_Id,half,total_active_time,total_inactive_time
188,second,10.099,14.283000000000001
189,first,9.988,9.873000000000001
189,second,10.003,9.379
190,first,27.078,22.035
190,second,23.699,24.641000000000002
191,first,9.784,18.444
191,second,10.395,19.122
192,first,19.956,2.846
192,second,0.0,26.122
193,first,23.088,36.09
193,second,22.111,37.956
195,first,14.715,8.43
195,second,5.069,18.364
197,first,52.125,21.427
197,second,46.632,28.973
199,first,10.14,3.214
199,second,0.0,14.482000000000001
200,first,9.826,1.596
200,second,6.119,5.716
201,first,29.94,23.318
201,second,29.465,23.144000000000002
202,first,10.125,10.583
202,second,0.0,21.555
203,first,9.829,58.255
203,second,12.876000000000001,49.852000000000004
205,first,9.757,16.009
205,second,0.0,26.796
206,first,31.700000000000003,18.417
206,second,20.792,27.635
207,first,10.107000000000001,23.472
207,second,3.6,31.554000000000002
208,first,11.971,14.997
208,second,0.0,28.513
209,first,12.843,3.9610000000000003
209,second,16.661,0.7939999999999999
211,first,21.465,2.8930000000000002
211,second,23.019000000000002,1.924
213,first,70.29,7.088
213,second,68.70700000000001,10.58
214,first,35.039,3.573
214,second,24.239,16.857
215,first,11.952,8.128
215,second,7.844,13.769
218,first,19.639,2.471
218,second,0.0,25.810000000000002
219,first,12.253,15.656
219,second,17.783,8.712
220,first,24.468,5.186
220,second,15.061,15.975
221,first,19.924,39.407000000000004
221,second,20.227,38.260000000000005
222,first,67.971,40.195
222,second,61.414,48.082
223,first,29.666,12.100000000000001
223,second,20.489,24.73
224,first,20.431,36.311
224,second,28.931,27.739
225,first,9.778,17.687
225,second,0.0,28.583000000000002
226,first,13.316,52.326
226,second,0.0,69.236
227,first,11.743,18.123
227,second,0.0,31.082
230,first,14.512,2.2439999999999998
230,second,0.0,18.749
232,first,9.753,5.318
232,second,0.0,15.653
233,first,21.026,22.146
233,second,0.0,45.172000000000004
234,first,10.115,34.089
234,second,0.0,42.851
235,first,12.248000000000001,11.587
235,second,0.0,26.575
236,first,12.245000000000001,24.619
236,second,0.0,37.32
237,first,10.322000000000001,16.151
237,second,0.0,28.002000000000002
238,first,11.609,45.79
238,second,8.425,50.127
239,first,11.832,63.597
239,second,18.149,56.718
241,first,10.27,30.59
241,second,9.635,29.954
242,first,10.042,32.786
242,second,9.994,32.02
243,first,12.245000000000001,5.229
