,participant,scenario,taskId,planning_distance,navigating_distance,numScreenLockEvents
361,28,1,1,0,70.56,1
362,28,1,2,0,191.87,3
363,28,1,3,0.01,42.65,1
364,28,1,4,0,268.77,2
366,28,2,1,0,244.02,3
367,28,2,2,4.93,170.13,2
368,28,2,3,8.58,211.38,1
369,28,2,4,0,200.72,1
371,28,3,1,1.24,344.08,3
372,28,3,2,0.2,59.29,1
373,28,3,3,0.32,73.18,1
374,28,3,4,0.12,117.04,1
376,28,4,1,1.24,126.77,2
377,28,4,2,0.03,132.5,4
378,28,4,3,1.37,87.44,1
379,28,4,4,0.04,139.03,1
381,29,1,1,0,64.22,1
382,29,1,2,0,236.41,3
383,29,1,3,0,203.55,3
384,29,1,4,0,289.97,5
386,29,2,1,0.1,235.2,3
387,29,2,2,0.25,393.37,3
388,29,2,3,7.8,214.54,3
389,29,2,4,8.72,112.84,2
391,29,3,1,0,153.53,2
392,29,3,2,0.91,97.75,1
393,29,3,3,0,63.73,1
394,29,3,4,1.26,161.2,2
396,29,4,1,0.32,188.11,3
397,29,4,2,0,352.47,4
398,29,4,3,0,163.32,3
399,29,4,4,0.03,148.68,1
401,30,1,1,0.42,78.12,1
402,30,1,2,0,136.62,3
403,30,1,3,0,148.93,3
404,30,1,4,0,214.2,3
406,30,2,1,0,200.74,4
407,30,2,2,0,88.01,3
408,30,2,3,0,174.7,5
409,30,2,4,0,162.93,4
411,30,3,1,1.14,219.53,8
412,30,3,2,0.07,208.07,8
413,30,3,3,0.57,59.56,3
414,30,3,4,0.05,75.09,1
416,30,4,1,5.81,188.21,3
417,30,4,2,0.09,296.75,3
418,30,4,3,0.92,235.12,4
419,30,4,4,3.36,185.56,4
421,31,1,1,0.08,118.55,2
422,31,1,2,0.64,137.04,4
423,31,1,3,0.21,305.09,5
424,31,1,4,0.78,141.15,2
426,31,2,1,0,238.25,7
427,31,2,2,0,211,4
428,31,2,3,0,90.8,3
429,31,2,4,0.5,58.07,1
431,31,3,1,0,166.26,5
432,31,3,2,0.36,264.14,5
433,31,3,3,2.41,478.05,4
435,31,4,1,1.44,402.69,7
436,31,4,2,0,162.37,2
437,31,4,3,3.6,270.03,6
438,31,4,4,0.01,159.69,1
440,32,1,1,0.07,206.13,5
441,32,1,2,0,235.49,2
442,32,1,3,0.04,94.71,2
443,32,1,4,0.04,25.3,1
445,32,2,1,0.45,268.94,5
446,32,2,2,4.65,239.97,2
447,32,2,3,0.03,52.89,1
448,32,2,4,17.29,367.28,5
450,32,3,1,0.42,135.84,3
451,32,3,2,1.47,105.35,3
452,32,3,3,0,274.5,4
453,32,3,4,0.79,168.97,4
455,32,4,1,1.83,74.9,2
456,32,4,2,4.09,194.47,5
457,32,4,3,1.34,123.13,5
458,32,4,4,0,266.87,7
460,33,1,1,0,116.68,1
461,33,1,2,1.41,324.25,2
462,33,1,3,1.65,233.77,2
463,33,1,4,0,159.36,2
465,33,2,1,0.54,189.47,3
466,33,2,2,0,192.2,3
467,33,2,3,0,336.85,2
468,33,2,4,0,151.58,1
470,33,3,1,0.74,151.61,2
471,33,3,2,0.04,117.32,1
472,33,3,3,0,167.17,2
473,33,3,4,1.16,148.49,1
475,33,4,1,0.45,132.22,1
476,33,4,2,0.34,125.59,1
477,33,4,3,0.31,221.9,1
478,33,4,4,0,37.07,1
480,34,1,1,0.09,75.45,2
481,34,1,2,0,249.86,4
482,34,1,3,27.42,0,0
483,34,1,4,0.41,231.16,2
485,34,2,1,0,280.37,7
486,34,2,2,0.1,182.01,2
487,34,2,3,0,280.82,1
488,34,2,4,62.71,137.53,1
490,34,3,1,11.79,225.66,3
491,34,3,2,0.28,227.46,6
492,34,3,3,0.86,193.44,4
493,34,3,4,36.73,8.95,0
495,34,4,1,71.45,88.09,1
496,34,4,2,112.25,155.44,1
