,participant,scenario,planning_time,navigation_time,planning_distance,navigating_distance,planning_stop,navigation_stop,planning_stop_time_seconds,navigation_stop_time_seconds,planning_speed,navigating_speed
102,35,3,58.036,253.119,7.45,560.26,16,23,36.88,24.77,0.13,2.21
103,35,4,14.697,426.748,0.14,638.89,4,32,14.25,118.36,0.01,1.5
104,36,1,78.961,267.045,0,612.18,4,13,78.96,42.44,0,2.29
105,36,2,44.59,250.037,0.45,581.13,11,12,0.61,0.11,0.01,2.32
106,36,3,61.494,247.487,0.79,488.27,7,13,57.61,27.49,0.01,1.97
107,36,4,73.57,374.592,14.12,851.04,12,26,29.74,11.31,0.19,2.27
108,37,1,141.994,588.366,0.56,1279.41,7,22,137.92,56.89,0,2.17
109,37,2,76.635,477.279,1.15,1168.81,9,16,54.84,35.82,0.02,2.45
110,37,3,60.619,850.68,0.47,865.36,12,32,9.44,312.97,0.01,1.02
111,37,4,64.638,400.53,23.95,710.1,10,26,47.9,40.82,0.37,1.77
112,38,1,48.436,446.153,3.64,1023.88,8,14,18.45,5.72,0.08,2.29
113,38,2,71.939,462.237,0.61,968.59,5,28,70.75,27.1,0.01,2.1
114,38,3,98.414,730.248,6.49,1166.68,9,38,82.58,31.93,0.07,1.6
115,38,4,73.536,641.529,0.57,1008.52,6,42,70.39,41.23,0.01,1.57
116,39,1,31.512,258.576,0.03,596.96,6,17,29.47,31.62,0,2.31
117,39,2,21.995,336.204,0.29,716.72,5,15,0.04,34.14,0.01,2.13
118,39,3,60.805,348.267,1.85,676.44,9,33,54.85,43.98,0.03,1.94
119,39,4,35.739,482.421,1.19,975.93,10,26,24.28,30.8,0.03,2.02
120,40,1,62.391,284.997,13.06,703.84,11,16,46.95,10.06,0.21,2.47
121,40,2,15.996,358.842,0.56,724.53,4,23,14.79,61.6,0.04,2.02
122,40,3,39.661,277.612,10.87,521.47,13,17,1.2,0.24,0.27,1.88
123,40,4,44.047,257.822,1.26,439.44,7,27,39.12,35.08,0.03,1.7
124,41,1,86.889,346.762,0.48,770.37,14,18,13.85,16.18,0.01,2.22
125,41,2,86.704,276.957,0.07,548.75,4,15,86.7,51.8,0,1.98
126,41,3,84.027,342.074,2.89,613.19,8,33,75.53,52.34,0.03,1.79
127,41,4,89.657,422.916,4.83,945.35,11,18,65.56,21.47,0.05,2.24
128,42,1,36.181,202.914,3.23,526.21,7,11,25.44,16.82,0.09,2.59
129,42,2,29.059,245.432,0.33,577.18,4,11,0.03,1.29,0.01,2.35
130,42,3,32.384,213.165,0.34,485.03,7,11,24.9,20.07,0.01,2.28
131,42,4,20.701,367.871,2.1,811.99,8,15,15.91,9.38,0.1,2.21
132,43,1,78.015,352.301,33.49,840.23,8,13,22.94,9.8,0.43,2.38
133,43,2,86.609,243.465,19.18,658.18,8,12,39.05,5.82,0.22,2.7
134,43,3,90.842,359.19,9.78,590.91,16,22,21.12,11.68,0.11,1.65
135,43,4,67.594,251.596,31.17,519.25,9,8,15.49,1.1,0.46,2.06
136,44,1,97.081,212.417,0,428,4,22,97.08,23.02,0,2.01
137,44,2,59.97,299.005,5.7,691.29,6,17,39.4,8.9,0.1,2.31
138,44,3,69.834,329.55,2.5,702.59,12,21,60.85,22.46,0.04,2.13
139,44,4,64.473,308.838,1.38,490.97,13,21,0.08,12.77,0.02,1.59
140,45,1,29.693,284.081,0.54,707.28,5,19,28.21,16.89,0.02,2.49
141,45,2,246.218,93.774,604.1,241.52,11,8,13.52,2.44,2.45,2.58
142,45,3,265.084,149.374,564.29,355.1,26,11,28.92,0.55,2.13,2.38
143,45,4,59.695,289.083,133.22,696.88,5,16,4.57,1.93,2.23,2.41
144,46,1,24.138,221.431,0,525.94,4,15,24.14,17.73,0,2.38
145,46,2,28.266,325.175,0,623.18,4,15,28.27,58.93,0,1.92
146,46,3,23.864,269.793,1.36,528.16,8,15,3.61,4.63,0.06,1.96
147,46,4,22.379,567.36,3.01,1092.76,8,17,10.98,6.42,0.13,1.93
148,47,1,18.865,268.368,0.45,659.25,4,14,15.16,21.62,0.02,2.46
149,47,2,15.013,249.964,0,616.96,7,14,12.93,18,0,2.47
