,Unnamed: 0,participant,scenario,planning_time,navigation_time,planning_distance,navigating_distance,planning_stop,navigation_stop,planning_stop_time_seconds,navigation_stop_time_seconds,interaction_count,frequency_distance,frequency_time
101,101,35,2,42.388,189.169,34.68,526.0,4,9,15.84,4.37,433,0.77,1.87
102,102,35,3,58.036,253.119,7.45,560.26,16,23,36.88,24.77,559,0.98,1.8
103,103,35,4,14.697,426.748,0.14,638.89,4,32,14.25,118.36,890,1.39,2.02
104,104,36,1,78.961,267.045,0.0,612.18,4,13,78.96,42.44,630,1.03,1.82
105,105,36,2,44.59,250.037,0.45,581.13,11,12,0.61,0.11,550,0.95,1.87
106,106,36,3,61.494,247.487,0.79,488.27,7,13,57.61,27.49,560,1.15,1.81
107,107,36,4,73.57,374.592,14.12,851.04,12,26,29.74,11.31,839,0.97,1.87
108,108,37,1,141.994,588.366,0.56,1279.41,7,22,137.92,56.89,1278,1.0,1.75
109,109,37,2,76.635,477.279,1.15,1168.81,9,16,54.84,35.82,1024,0.88,1.85
110,110,37,3,60.619,850.68,0.47,865.36,12,32,9.44,312.97,1717,1.98,1.88
111,111,37,4,64.638,400.53,23.95,710.1,10,26,47.9,40.82,853,1.16,1.83
112,112,38,1,48.436,446.153,3.64,1023.88,8,14,18.45,5.72,1003,0.98,2.03
113,113,38,2,71.939,462.237,0.61,968.59,5,28,70.75,27.1,1060,1.09,1.98
114,114,38,3,98.414,730.248,6.49,1166.68,9,38,82.58,31.93,1619,1.38,1.95
115,115,38,4,73.536,641.529,0.57,1008.52,6,42,70.39,41.23,1386,1.37,1.94
116,116,39,1,31.512,258.576,0.03,596.96,6,17,29.47,31.62,559,0.94,1.93
117,117,39,2,21.995,336.204,0.29,716.72,5,15,0.04,34.14,723,1.01,2.02
118,118,39,3,60.805,348.267,1.85,676.44,9,33,54.85,43.98,776,1.14,1.9
119,119,39,4,35.739,482.421,1.19,975.93,10,26,24.28,30.8,1007,1.03,1.94
120,120,40,1,62.391,284.997,13.06,703.84,11,16,46.95,10.06,630,0.88,1.81
121,121,40,2,15.996,358.842,0.56,724.53,4,23,14.79,61.6,752,1.04,2.01
122,122,40,3,39.661,277.612,10.87,521.47,13,17,1.2,0.24,590,1.11,1.86
123,123,40,4,44.047,257.822,1.26,439.44,7,27,39.12,35.08,553,1.25,1.83
124,124,41,1,86.889,346.762,0.48,770.37,14,18,13.85,16.18,755,0.98,1.74
125,125,41,2,86.704,276.957,0.07,548.75,4,15,86.7,51.8,586,1.07,1.61
126,126,41,3,84.027,342.074,2.89,613.19,8,33,75.53,52.34,708,1.15,1.66
127,127,41,4,89.657,422.916,4.83,945.35,11,18,65.56,21.47,867,0.91,1.69
128,128,42,1,36.181,202.914,3.23,526.21,7,11,25.44,16.82,434,0.82,1.82
129,129,42,2,29.059,245.432,0.33,577.18,4,11,0.03,1.29,537,0.93,1.96
130,130,42,3,32.384,213.165,0.34,485.03,7,11,24.9,20.07,469,0.97,1.91
131,131,42,4,20.701,367.871,2.1,811.99,8,15,15.91,9.38,760,0.93,1.96
132,132,43,1,78.015,352.301,33.49,840.23,8,13,22.94,9.8,759,0.87,1.76
133,133,43,2,86.609,243.465,19.18,658.18,8,12,39.05,5.82,517,0.76,1.57
134,134,43,3,90.842,359.19,9.78,590.91,16,22,21.12,11.68,802,1.34,1.78
135,135,43,4,67.594,251.596,31.17,519.25,9,8,15.49,1.1,521,0.95,1.63
136,136,44,1,97.081,212.417,0.0,428.0,4,22,97.08,23.02,493,1.15,1.59
137,137,44,2,59.97,299.005,5.7,691.29,6,17,39.4,8.9,682,0.98,1.9
138,138,44,3,69.834,329.55,2.5,702.59,12,21,60.85,22.46,696,0.99,1.74
139,139,44,4,64.473,308.838,1.38,490.97,13,21,0.08,12.77,699,1.42,1.87
140,140,45,1,29.693,284.081,0.54,707.28,5,19,28.21,16.89,633,0.89,2.02
141,141,45,2,246.218,93.774,604.1,241.52,11,8,13.52,2.44,216,0.26,0.64
142,142,45,3,265.084,149.374,564.29,355.1,26,11,28.92,0.55,322,0.35,0.78
143,143,45,4,59.695,289.083,133.22,696.88,5,16,4.57,1.93,614,0.74,1.76
144,144,46,1,24.138,221.431,0.0,525.94,4,15,24.14,17.73,474,0.9,1.93
145,145,46,2,28.266,325.175,0.0,623.18,4,15,28.27,58.93,698,1.12,1.97
146,146,46,3,23.864,269.793,1.36,528.16,8,15,3.61,4.63,571,1.08,1.94
147,147,46,4,22.379,567.36,3.01,1092.76,8,17,10.98,6.42,1149,1.05,1.95
148,148,47,1,18.865,268.368,0.45,659.25,4,14,15.16,21.62,587,0.89,2.04
149,149,47,2,15.013,249.964,0.0,616.96,7,14,12.93,18.0,565,0.92,2.13
150,150,47,3,72.223,276.272,3.73,600.12,12,24,62.18,21.86,596,0.99,1.71
151,151,47,4,24.004,209.98,1.9,489.01,8,15,7.34,3.06,463,0.94,1.98
152,152,48,1,49.688,287.344,0.09,772.98,6,8,35.35,20.46,589,0.76,1.75
153,153,48,2,60.509,454.896,0.15,1125.06,14,10,48.59,16.46,932,0.83,1.81
154,154,48,3,47.026,272.954,1.14,614.72,5,18,44.55,25.01,577,0.94,1.8
155,155,48,4,35.073,289.951,3.68,650.27,8,16,31.54,14.68,591,0.9,1.82
