participant,scenario,planning_time,navigation_time
42,4,20.701,367.87100000000004
43,1,78.015,352.301
43,2,86.60900000000001,243.465
43,3,90.842,359.19
43,4,67.59400000000001,251.596
44,1,97.081,212.417
44,2,59.97,299.005
44,3,69.834,329.55
44,4,64.473,308.838
45,1,29.693,284.081
45,2,246.21800000000002,93.774
45,3,265.084,149.374
45,4,59.695,289.083
46,1,24.138,221.431
46,2,28.266000000000002,325.175
46,3,23.864,269.793
46,4,22.379,567.36
47,1,18.865,268.368
47,2,15.013,249.964
47,3,72.223,276.272
47,4,24.004,209.98000000000002
48,1,49.688,287.344
48,2,60.509,454.896
48,3,47.026,272.954
48,4,35.073,289.951
49,1,77.755,297.784
49,2,28.811,342.701
49,3,46.803000000000004,357.671
49,4,121.542,181.978
50,1,24.756,294.993
50,2,63.173,377.151
50,3,51.571,286.736
50,4,62.713,201.98000000000002
51,1,39.962,291.78000000000003
51,2,107.28,505.36
51,3,66.387,690.918
51,4,54.266,303.116
52,1,79.153,334.779
52,2,62.524,316.454
52,3,49.142,233.496
52,4,71.219,428.416
53,1,37.486,372.45
53,2,43.383,325.509
53,3,31.129,382.572
53,4,25.473000000000003,370.034
54,1,60.834,237.381
54,2,66.483,327.462
54,3,38.998,381.211
54,4,37.35,281.92900000000003
55,1,40.101,278.999
55,2,42.785000000000004,350.416
55,3,98.173,328.067
55,4,68.072,573.5
56,1,49.888,296.995
56,2,25.443,233.842
56,3,34.707,238.636
56,4,48.258,235.16500000000002
57,1,73.306,301.728
57,2,42.454,277.98
57,3,21.826,346.772
57,4,26.847,636.138
58,1,16.317,263.384
58,2,19.183,226.76000000000002
58,3,30.746000000000002,255.20000000000002
58,4,31.213,361.10900000000004
59,1,46.238,336.62
59,2,37.177,299.084
59,3,71.617,535.109
59,4,50.405,342.361
60,1,212.107,182.927
60,2,27.606,355.605
60,3,197.085,136.722
60,4,84.363,712.1890000000001
61,1,62.403,280.044
61,2,32.972,327.307
61,3,51.561,271.475
61,4,31.707,339.28700000000003
62,1,57.509,315.684
62,2,109.986,340.479
62,3,121.697,460.79900000000004
62,4,47.198,610.933
63,1,46.558,293.891
63,2,78.596,303.629
63,3,50.967,289.221
63,4,43.642,287.39
