participant,scenario,taskId,planning_distance,navigating_distance
24,1,1.0,0.11,116.39
24,1,2.0,0.0,327.53
24,1,3.0,0.0,134.68
24,1,4.0,0.0,172.24
24,2,0.0,0.0,0.0
24,2,1.0,0.0,183.74
24,2,2.0,0.0,65.07
24,2,3.0,0.0,477.42
24,2,4.0,0.0,56.23
24,3,0.0,0.0,0.0
24,3,1.0,0.76,190.47
24,3,2.0,0.39,180.97
24,3,3.0,0.07,75.59
24,3,4.0,0.02,124.01
24,4,0.0,0.0,0.0
24,4,1.0,0.0,86.25
24,4,2.0,0.23,255.51
24,4,3.0,0.15,288.91
24,4,4.0,0.0,157.28
25,1,0.0,0.0,0.0
25,1,1.0,0.07,206.39
25,1,2.0,0.0,212.25
25,1,3.0,0.02,77.8
25,1,4.0,0.05,47.07
25,2,0.0,0.0,0.0
25,2,1.0,0.0,329.22
25,2,2.0,0.0,159.84
25,2,3.0,0.0,81.66
25,2,4.0,0.0,41.67
25,3,0.0,0.0,0.0
25,3,1.0,0.0,210.65
25,3,2.0,0.54,261.16
25,3,3.0,0.0,155.63
25,3,4.0,0.61,126.48
25,4,0.0,0.0,0.0
25,4,1.0,1.2,212.87
25,4,2.0,0.0,471.2
25,4,3.0,0.09,199.05
25,4,4.0,13.2,151.66
26,1,0.0,0.0,0.0
26,1,1.0,0.0,73.42
26,1,2.0,2.19,249.92
26,1,3.0,0.0,118.5
26,1,4.0,0.0,242.55
26,2,0.0,0.0,0.0
26,2,1.0,0.35,241.75
26,2,2.0,6.95,119.66
26,2,3.0,3.26,206.42
26,2,4.0,0.15,272.12
26,3,0.0,0.0,0.0
26,3,1.0,0.09,147.14
26,3,2.0,0.0,359.66
26,3,3.0,9.57,90.28
26,3,4.0,0.92,308.22
26,4,0.0,0.0,0.0
26,4,1.0,4.11,212.2
26,4,2.0,57.3,251.99
26,4,3.0,0.43,254.46
26,4,4.0,16.5,200.8
27,1,0.0,0.0,0.0
27,1,1.0,0.0,120.45
27,1,2.0,169.33,0.0
27,1,3.0,0.28,240.06
27,1,4.0,33.67,113.36
27,2,0.0,0.0,0.0
27,2,1.0,0.0,265.18
27,2,2.0,0.0,64.76
27,2,3.0,0.0,169.75
27,2,4.0,3.27,175.8
27,3,0.0,0.0,0.0
27,3,1.0,0.85,192.76
27,3,2.0,0.38,151.63
27,3,3.0,17.19,47.57
27,3,4.0,0.09,63.34
27,4,0.0,0.0,0.0
27,4,1.0,0.0,73.55
27,4,2.0,0.0,233.9
27,4,3.0,0.0,79.92
27,4,4.0,0.81,125.4
28,1,0.0,0.0,0.0
28,1,1.0,0.0,70.56
28,1,2.0,0.0,191.87
28,1,3.0,0.01,42.65
28,1,4.0,0.0,268.77
28,2,0.0,0.0,0.0
28,2,1.0,0.0,244.02
28,2,2.0,4.93,170.13
28,2,3.0,8.58,211.38
28,2,4.0,0.0,200.72
28,3,0.0,0.0,0.0
28,3,1.0,1.24,344.08
28,3,2.0,0.2,59.29
28,3,3.0,0.32,73.18
28,3,4.0,0.12,117.04
28,4,0.0,0.0,0.0
28,4,1.0,1.24,126.77
28,4,2.0,0.03,132.5
