"","id","scenario_id","t_id","p_desc","p_id","task_phase_time","task_deactive_time_map","task_perc_inactive","task_perc_active"
"200","17","4",4,"planning",10,14.7630000114441,0,0,1
"201","18","1",1,"navigating",2,38.3380000591278,15.430999994278,0.402498825459833,0.597501174540167
"202","18","1",1,"planning",1,3.13499999046326,0,0,1
"203","18","1",2,"navigating",5,67.1779999732971,40.0179998874664,0.595700972094635,0.404299027905365
"204","18","1",2,"planning",4,7.27900004386902,0,0,1
"205","18","1",3,"navigating",8,78.885999917984,20.804000377655,0.26372233855544,0.73627766144456
"206","18","1",3,"planning",7,9.36400008201599,0,0,1
"207","18","1",4,"navigating",11,89.7750000953674,68.2710001468658,0.760467837085402,0.239532162914598
"208","18","1",4,"planning",10,12.4100000858307,0,0,1
"209","18","2",1,"navigating",2,220.073999881744,119.431999921799,0.542690185964607,0.457309814035393
"210","18","2",1,"planning",1,11.7820000648499,0,0,1
"211","18","2",2,"navigating",5,39.9900000095367,18.1879999637604,0.454813702411176,0.545186297588824
"212","18","2",2,"planning",4,7.08300018310547,0,0,1
"213","18","2",3,"navigating",8,54.4249999523163,40.6719999313354,0.747303628240141,0.252696371759859
"214","18","2",3,"planning",7,9.23199987411499,0,0,1
"215","18","2",4,"navigating",11,92.4539999961853,39.0330002307892,0.42218833400826,0.57781166599174
"216","18","2",4,"planning",10,22.220999956131,0,0,1
"217","18","3",1,"navigating",2,114.986999988556,48.7360000610352,0.423839217180078,0.576160782819922
"218","18","3",1,"planning",1,20.5829999446869,0,0,1
"219","18","3",2,"navigating",5,108.220999956131,63.2239999771118,0.584211936710441,0.415788063289559
"220","18","3",2,"planning",4,21.154000043869,0,0,1
"221","18","3",3,"navigating",8,97.0899999141693,55.1710000038147,0.568245957900789,0.431754042099211
"222","18","3",3,"planning",7,7.32599997520447,0,0,1
"223","18","3",4,"navigating",11,26.4329998493195,14.3159999847412,0.541595735117056,0.458404264882944
"224","18","3",4,"planning",10,3.07799983024597,0,0,1
"225","18","4",1,"navigating",2,58.4769999980927,25.9360001087189,0.44352480649768,0.55647519350232
"226","18","4",1,"planning",1,4.93799996376038,0,0,1
"227","18","4",2,"navigating",5,56.9779999256134,35.6119999885559,0.625013163590307,0.374986836409693
"228","18","4",2,"planning",4,3.3989999294281,0,0,1
"229","18","4",3,"navigating",8,41.3109998703003,30.2969999313354,0.733388202330026,0.266611797669974
"230","18","4",3,"planning",7,4.70099997520447,0,0,1
"231","18","4",4,"navigating",11,67.0190000534058,54.4460000991821,0.812396485411532,0.187603514588468
"232","18","4",4,"planning",10,4.96399998664856,0,0,1
"233","19","1",1,"navigating",2,70.5079998970032,46.8619999885559,0.664633801228387,0.335366198771613
"234","19","1",1,"planning",1,11.0490000247955,0,0,1
"235","19","1",2,"navigating",5,106.521000146866,45.2639999389648,0.424930294275843,0.575069705724157
"236","19","1",2,"navigating",7,6.88899993896484,0,0,1
"237","19","1",2,"planning",4,7.8730001449585,0,0,1
"238","19","1",2,"planning",6,1.5239999294281,0,0,1
"239","19","1",3,"navigating",10,21.8380000591278,10.933000087738,0.500641087010543,0.499358912989457
"240","19","1",3,"planning",9,2.70299983024597,0,0,1
"241","19","1",4,"navigating",13,63.1270000934601,39.507000207901,0.625833639320901,0.374166360679099
"242","19","1",4,"planning",12,11.6689999103546,0,0,1
"243","19","2",1,"navigating",2,82.4579999446869,21.8860001564026,0.265419973454168,0.734580026545832
"244","19","2",1,"planning",1,7.09899997711182,0,0,1
"245","19","2",2,"navigating",5,91.1740000247955,34.1220002174377,0.374251433612192,0.625748566387808
"246","19","2",2,"planning",4,5.54500007629395,0,0,1
"247","19","2",3,"navigating",8,26.7089998722076,15.5710000991821,0.582987014627407,0.417012985372593
"248","19","2",3,"planning",7,2.27799987792969,0,0,1
"249","19","2",4,"navigating",11,16.8960001468658,0.693999767303467,0.041074796476739,0.958925203523261
"250","19","2",4,"planning",10,2.35500001907349,0,0,1
"251","19","3",1,"navigating",2,103.060000181198,47.7509996891022,0.463332035757299,0.536667964242701
"252","19","3",1,"planning",1,16.3709998130798,0,0,1
"253","19","3",2,"navigating",5,46.5400002002716,9.81200003623962,0.21082939394105,0.78917060605895
"254","19","3",2,"planning",4,19.5,0,0,1
"255","19","3",3,"navigating",8,9.7020001411438,0,0,1
"256","19","3",3,"navigating",10,94.2070000171661,32.6779999732971,0.346874435735589,0.653125564264411
"257","19","3",3,"planning",7,23.2950000762939,0.707000017166138,0.0303498611225854,0.969650138877415
"258","19","3",3,"planning",9,1.80999994277954,0,0,1
"259","19","3",4,"navigating",13,36.742999792099,1.55099987983704,0.0422121190053337,0.957787880994666
"260","19","3",4,"planning",12,13.8099999427795,0,0,1
"261","19","4",1,"navigating",2,28.9390001296997,17.4119999408722,0.601679389848804,0.398320610151196
"262","19","4",1,"planning",1,7.74600005149841,0,0,1
"263","19","4",2,"navigating",5,90.199000120163,43.9490003585815,0.48724487300339,0.51275512699661
"264","19","4",2,"planning",4,5.28399991989136,0,0,1
"265","19","4",3,"navigating",8,51.3599998950958,27.5409998893738,0.536234422617348,0.463765577382652
"266","19","4",3,"planning",7,3.66799998283386,0,0,1
"267","19","4",4,"navigating",11,113.87299990654,64.5590002536774,0.566938609737721,0.433061390262279
"268","19","4",4,"planning",10,4.76600003242493,0,0,1
"269","20","1",1,"navigating",2,27.7479999065399,16.1979999542236,0.583753784372975,0.416246215627025
"270","20","1",1,"planning",1,28.2329998016357,0,0,1
"271","20","1",2,"navigating",5,95.7019999027252,33.0380001068115,0.345217447288379,0.654782552711621
"272","20","1",2,"planning",4,32.4900000095367,0,0,1
"273","20","1",3,"navigating",8,53.930999994278,29.9450001716614,0.555246521941713,0.444753478058287
"274","20","1",3,"planning",7,6.35500001907349,0,0,1
"275","20","1",4,"navigating",11,99.3429999351501,66.8960001468658,0.673384135676743,0.326615864323257
"276","20","1",4,"planning",10,5.03799986839294,0,0,1
"277","20","2",1,"navigating",2,38.1719999313354,21.4789998531342,0.562689926956172,0.437310073043828
