Unnamed: 0,id,scenario_id,planning_time_x,navigating_time,participant,scenario,planning_time_y,navigation_time,difference_planning,difference_navigation
116,38,4,73.5360000133515,641.371000051498,38,4,73.536,641.529,0.00,-0.16
117,39,1,31.4880001544953,258.472999811172,39,1,31.512,258.576,-0.02,-0.10
118,39,2,21.9560000896454,336.004000186921,39,2,21.995,336.204,-0.04,-0.20
119,39,3,60.8030002117157,348.037999868393,39,3,60.805,348.267,-0.00,-0.23
120,39,4,35.739000082016,481.78700017929,39,4,35.739,482.421,0.00,-0.63
121,40,1,62.1779999732971,284.859000205994,40,1,62.391,284.997,-0.21,-0.14
122,40,2,15.9959995746612,358.663999795914,40,2,15.996,358.842,-0.00,-0.18
123,40,3,39.66100025177,277.328000307083,40,3,39.661,277.612,0.00,-0.28
124,40,4,44.0459997653961,257.550999879837,40,4,44.047,257.822,-0.00,-0.27
125,41,1,86.8890001773834,346.545000314712,41,1,86.889,346.762,0.00,-0.22
126,41,2,86.7040002346039,276.811000108719,41,2,86.70400000000001,276.957,0.00,-0.15
127,41,3,82.6500000953675,341.823999881744,41,3,84.027,342.074,-1.38,-0.25
128,41,4,89.6569995880127,422.648999929428,41,4,89.657,422.916,-0.00,-0.27
129,42,1,36.180999994278,202.643000125885,42,1,36.181,202.914,-0.00,-0.27
130,42,2,29.0579998493194,245.084999799728,42,2,29.059,245.432,-0.00,-0.35
131,42,3,32.3840003013611,212.953000068665,42,3,32.384,213.165,0.00,-0.21
132,42,4,20.6989998817444,367.554999828339,42,4,20.701,367.871,-0.00,-0.32
133,43,1,78.0150003433227,352.029999732971,43,1,78.015,352.301,0.00,-0.27
134,43,2,86.6089999675751,243.175999879837,43,2,86.60900000000001,243.465,-0.00,-0.29
135,43,3,90.8420004844666,359.067999839782,43,3,90.842,359.19,0.00,-0.12
136,43,4,67.5940003395081,251.290999889374,43,4,67.59400000000001,251.596,0.00,-0.31
137,44,1,97.0810000896454,212.279000043869,44,1,97.081,212.417,0.00,-0.14
138,44,2,59.968999862671,298.848999977112,44,2,59.97,299.005,-0.00,-0.16
139,44,3,69.8310000896454,329.327000141144,44,3,69.834,329.55,-0.00,-0.22
140,44,4,64.473000049591,308.59500002861,44,4,64.473,308.838,0.00,-0.24
141,45,1,29.6929998397827,283.868000030517,45,1,29.693,284.081,-0.00,-0.21
142,45,2,246.189999818802,93.6460001468658,45,2,246.218,93.774,-0.03,-0.13
143,45,3,265.083999872208,149.115000247955,45,3,265.084,149.374,-0.00,-0.26
144,45,4,59.6930003166199,288.873999595642,45,4,59.695,289.083,-0.00,-0.21
145,46,1,24.1379997730255,221.134000301361,46,1,24.138,221.431,-0.00,-0.30
146,46,2,28.2000000476837,324.819000005722,46,2,28.266,325.175,-0.07,-0.36
147,46,3,23.864000082016,269.435999631882,46,3,23.864,269.793,0.00,-0.36
148,46,4,22.3789999485016,566.921000003814,46,4,22.379,567.36,-0.00,-0.44
149,47,1,18.8649997711182,268.180999994278,47,1,18.865,268.368,-0.00,-0.19
