,mean,std,median,skewness,kurtosis,25th_percentile,50th_percentile,75th_percentile,participant,cluster
26,7.131,12.645421977933356,1.66,3.2833547860890855,12.960316457894645,0.7324999999999999,1.66,7.5875,36,0
27,10.96793103448276,10.855911905758475,8.16,1.2299132501000845,1.13727578388169,1.46,8.16,18.415,37,0
28,1.5527810650887575,2.788879430648576,0.65,3.9815054360447193,17.568393701290344,0.43,0.65,1.06,38,0
29,13.678888888888888,18.748786001851155,8.559999999999999,3.1734281785071063,12.169506701945574,1.2675,8.559999999999999,17.7825,39,0
30,11.223600000000001,15.68916667767922,5.155,2.147836713147519,4.614633509433036,1.145,5.155,11.809999999999999,40,0
31,29.733666666666668,24.90483654277262,23.345,0.9970966475024274,0.15108013820949617,9.9375,23.345,39.555,41,1
32,24.505384615384614,18.101561180179,18.645000000000003,1.2249028974379774,1.1969416603419285,9.98,18.645000000000003,35.6875,42,1
33,16.50257142857143,18.41628787519463,8.92,0.9578570547758491,-0.41997020154567455,0.935,8.92,31.16,43,1
34,5.31016393442623,8.068865581753373,2.29,2.9901267657882045,9.467042944311556,1.13,2.29,5.22,44,0
35,11.855806451612903,12.166787890624306,7.76,1.2973682080835853,0.818219317062761,2.665,7.76,20.0,45,0
36,30.903870967741934,22.912104094732694,22.65,1.5062376655465513,1.675675252550259,18.23,22.65,36.24,46,1
37,5.022500000000002,5.760914460106718,2.815,2.0069930207146855,4.3836126694513675,1.03,2.815,7.13,47,0
38,36.79576923076923,38.21376787464846,16.96,1.69104806949489,3.1033071567012263,9.254999999999999,16.96,50.39,48,1
39,33.0272,32.20204534125123,26.26,1.4357907348029153,2.3778095095081904,3.22,26.26,44.38,49,1
40,24.0015625,19.800272742656695,19.78,0.9080039270908385,0.08798525003531976,9.0925,19.78,37.21,50,1
41,31.73743589743591,29.34055578782035,26.49,1.5328027586934752,3.111603544419813,7.76,26.49,46.39,51,1
42,15.276382978723403,16.7689000927733,8.46,1.0740182992664369,0.19431866846731705,1.1600000000000001,8.46,26.174999999999997,52,0
43,3.558148148148148,7.437906766320204,1.01,3.7135754844447706,14.381377980357602,0.64,1.01,2.25,53,0
44,9.89381818181818,9.362606181635362,6.92,1.290169598018238,1.4057729813858222,2.085,6.92,14.235,54,0
45,9.454722222222223,10.21079901817219,5.605,1.5172742993899093,2.147957890171593,1.685,5.605,14.7325,55,0
46,34.28142857142857,19.811467647303065,33.87,0.34134837554856445,-0.9095416277336748,19.75,33.87,47.22,56,2
47,4.296543209876543,7.378411144248131,1.21,3.192212460484163,11.05784441882957,0.79,1.21,4.14,57,0
48,21.008823529411764,16.953873367031168,16.525,0.9343332573807738,0.32751205075726464,6.0625,16.525,30.48,58,1
49,4.768452380952381,7.183953099003696,1.2650000000000001,3.0927771317150903,11.105679382328812,0.785,1.2650000000000001,6.575,59,0
50,21.063333333333336,19.47866643360746,14.895,1.0551253164214156,0.17465001125912893,5.6225,14.895,30.96,60,1
51,7.672727272727273,10.562819949675191,4.16,2.5925494163596077,7.164156736846508,0.945,4.16,10.315,61,0
52,2.0605982905982905,6.8209306193395065,0.67,6.411631223266868,42.99426576209686,0.47,0.67,0.88,62,0
53,4.676478873239437,6.338142772046828,1.14,1.660991299201936,1.7872288087693438,0.75,1.14,6.395,63,0
