"","id","scenario_id","planning_time","navigating_time"
"127",41,3,82.6500000953675,341.823999881744
"128",41,4,89.6569995880127,422.648999929428
"129",42,1,36.180999994278,202.643000125885
"130",42,2,29.0579998493194,245.084999799728
"131",42,3,32.3840003013611,212.953000068665
"132",42,4,20.6989998817444,367.554999828339
"133",43,1,78.0150003433227,352.029999732971
"134",43,2,86.6089999675751,243.175999879837
"135",43,3,90.8420004844666,359.067999839782
"136",43,4,67.5940003395081,251.290999889374
"137",44,1,97.0810000896454,212.279000043869
"138",44,2,59.968999862671,298.848999977112
"139",44,3,69.8310000896454,329.327000141144
"140",44,4,64.473000049591,308.59500002861
"141",45,1,29.6929998397827,283.868000030517
"142",45,2,246.189999818802,93.6460001468658
"143",45,3,265.083999872208,149.115000247955
"144",45,4,59.6930003166199,288.873999595642
"145",46,1,24.1379997730255,221.134000301361
"146",46,2,28.2000000476837,324.819000005722
"147",46,3,23.864000082016,269.435999631882
"148",46,4,22.3789999485016,566.921000003814
"149",47,1,18.8649997711182,268.180999994278
"150",47,2,15.0119998455048,249.78600025177
"151",47,3,72.2209997177124,275.964000463486
"152",47,4,24.003999710083,209.694999933243
"153",48,1,49.6879999637603,287.140000343322
"154",48,2,60.5090000629425,454.616999864578
"155",48,3,47.0230000019073,272.680999755859
"156",48,4,35.0729999542237,289.683000326156
"157",49,1,77.7549998760224,297.542999982834
"158",49,2,28.8109998703003,342.4390001297
"159",49,3,46.8030004501343,357.422000169754
"160",49,4,121.538999795914,181.719000339508
"161",50,1,24.6760001182556,294.787000179291
"162",50,2,63.1410000324249,376.968000411988
"163",50,3,51.569000005722,286.529000043869
"164",50,4,62.6409997940063,201.720999956131
"165",51,1,39.962000131607,291.643999814987
"166",51,2,107.27999997139,505.223999977112
"167",51,3,66.3870000839234,690.692999839782
"168",51,4,54.2660000324249,302.833999872207
"169",52,1,79.1530001163482,334.569999933243
"170",52,2,62.5239999294281,316.297000169754
"171",52,3,49.1420001983642,233.27999997139
"172",52,4,71.217000246048,428.06700015068
"173",53,1,37.4859998226166,372.250000238418
"174",53,2,43.3829998970033,325.325000047684
"175",53,3,31.1289999485016,382.346999883652
"176",53,4,25.4730000495911,369.850999593735
"177",54,1,60.8339998722076,237.266999959946
"178",54,2,66.4830000400544,327.259000062943
"179",54,3,38.9979999065399,380.983000040054
"180",54,4,37.2760000228881,281.703999996185
"181",55,1,40.1010000705719,278.756000041962
"182",55,2,42.7849996089935,350.212000370026
"183",55,3,98.1710000038146,327.824999809265
"184",55,4,68.0699999332428,573.259000062942
"185",56,1,49.8879997730256,296.773000240326
"186",56,2,25.4429998397827,233.700999498367
"187",56,3,34.7070000171661,238.454999923706
"188",56,4,48.2579998970033,234.900000095367
"189",57,1,73.3059999942779,301.649999618531
"190",57,2,42.4539997577668,277.876000165939
"191",57,3,21.8259999752044,346.541000127792
"192",57,4,26.8469998836517,636.084000110626
"193",58,1,16.2459995746613,263.230999708176
"194",58,2,19.183000087738,226.643000125885
"195",58,3,30.7459998130798,255.018000364304
"196",58,4,30.9769999980927,360.853999853134
"197",59,1,46.2360000610352,336.473999977111
"198",59,2,37.177000284195,298.971999883652
"199",59,3,71.6169998645782,532.261000394822
"200",59,4,48.9850001335144,343.876999616622
"201",60,1,212.106999635697,182.651000261307
"202",60,2,27.6059999465943,355.279000043869
"203",60,3,197.084999799728,136.464000225067
"204",60,4,84.3600001335144,711.882000446319
"205",61,1,62.4029998779297,279.730999946594
"206",61,2,32.9129998683929,327.180999994278
"207",61,3,51.5609998703002,271.193000078201
"208",61,4,31.7059998512268,339.033999681472
"209",62,1,57.508999824524,315.488999843598
"210",62,2,109.985999822617,340.239000082016
"211",62,3,121.697000265122,460.557000160217
"212",62,4,47.1979999542236,610.604000091552
"213",63,1,46.5579996109008,293.664999961853
"214",63,2,78.5939998626709,303.465000152588
"215",63,3,50.9130001068115,289.019000053406
"216",63,4,43.6419999599457,287.157000303268
