"participantno","scenario","startpoint","lg_1","lg_2","lg_3","lg_4","total_length","duration_1","duration_2","duration_3","duration_4","total_duration","total_speed","num_stops_1","num_stops_2","num_stops_3","num_stops_4","total_walkingstops","stops_duration_1","stops_duration_2","stops_duration_3","stops_duration_4","total_walkingstop_duration"
25,2,"s",329.220417924669,159.841425707467,81.6648086132806,41.6650931056741,612.391745351091,138,67,39,26,270,2.26811757537441,4,3,4,2,13,22.276,8.934,6.389,9.808,47.407
25,3,"n",210.647590944801,261.703795114414,155.634175989993,127.0908074982,755.076369547407,111,145,77,55,388,1.94607311739023,8,13,3,4,28,17.764,8.334,16.237,8.583,50.918
25,4,"w",214.065844965562,471.195134637187,199.134987008283,164.862784655659,1049.25875126669,118,203,83,65,469,2.23722548244497,9,9,6,5,29,11.589,12.271,0.213,4.653,28.726
26,1,"n",73.423161065326,252.107930725715,118.503975290588,242.545176682066,686.580243763695,46,110,74,128,358,1.91782190995446,2,6,5,8,21,13.048,6.622,25.554,15.463,60.687
26,2,"e",242.103898295932,126.606937539004,209.677702754071,272.26841174197,850.656950330977,107,60,109,137,413,2.05970205891278,3,6,8,7,24,0.511,0.005,0.158,1.027,1.701
26,3,"s",147.232950126355,359.659419202723,99.8575694578357,309.141544702433,915.891483489347,79,224,64,160,527,1.73793450377485,5,20,10,17,52,16.58,44.08,5.642,12.81,79.112
26,4,"w",216.304867183269,309.291652583093,254.886459766084,217.299453604617,997.782433137062,116,112,138,112,478,2.08741094798548,13,7,40,9,69,13.213,0.013,501.631,17.901,532.758
27,1,"w",120.448000603836,169.329302979715,240.341841620712,147.033867169777,677.15301237404,50,87,123,54,314,2.15653825596828,3,6,6,4,19,6.879,15.548,37.88,0.672,60.979
27,2,"n",265.183077609553,64.761720641801,169.753517597702,179.07173716747,678.770053016525,106,30,66,67,269,2.52330874727333,3,2,2,4,11,13.421,5.945,7.619,3.434,30.419
27,3,"e",193.614442554757,152.009269088127,64.7566577220914,63.4327306197665,473.813099984742,88,79,52,36,255,1.85809058817546,5,5,7,3,20,0.008,0.011,4.684,2.075,6.778
27,4,"s",73.5457589226989,233.904407920652,79.9233819927235,126.201832918522,513.575381754596,31,110,43,52,236,2.17616687184151,2,5,5,2,14,3.621,10.446,7.358,3.013,24.438
28,1,"s",70.5608655079026,191.870282404507,42.6613193100738,268.770207460279,573.862674682762,35,73,30,107,245,2.34229663135821,3,4,3,4,14,6.851,6.761,7.416,14.615,35.643
28,2,"w",244.016228882462,175.058907701326,219.961651641402,200.717737275418,839.754525500607,97,65,94,85,341,2.46262324193726,1,1,5,2,9,8.852,0.001,2.414,12.234,23.501
28,3,"n",345.31930422374,59.4903774881301,73.5024463484791,117.15806571953,595.470193779879,167,28,38,67,300,1.98490064593293,10,4,3,5,22,33.194,5.496,5.915,5.31,49.915
28,4,"e",128.009974808344,132.524964159606,88.8136383009588,139.07020881782,488.418786086729,68,62,69,70,269,1.81568321965327,4,4,13,4,25,0.008,0.006,1.283,0.009,1.306
29,1,"n",64.217515407709,236.407727210994,203.549517642538,289.974724961207,794.149485222447,49,149,91,175,464,1.71152906297941,2,3,4,11,20,26.226,61.767,17.205,38.241,143.439
29,2,"e",235.306128485884,393.613505847829,222.344891967102,121.5592399762,972.823766277015,123,170,105,71,469,2.07425110080387,5,9,5,2,21,0.036,3.785,12.12,0.002,15.943
29,3,"s",153.531821702883,98.6616997403459,63.7258268146818,162.461482487518,478.380830745429,92,87,48,87,314,1.52350583039945,6,9,3,7,25,16.469,35.935,18.052,15.319,85.775
29,4,"w",188.435606355292,352.469689531728,163.32489445867,148.710622727807,852.940813073496,104,155,93,59,411,2.07528178363381,12,4,6,3,25,19.395,6.465,23.652,5.9,55.412
30,1,"s",78.542348510625,136.619262524393,148.925347399064,214.204087549576,578.291045983658,61,72,79,106,318,1.8185253018354,7,4,3,5,19,30.88,18.476,20.834,23.47,93.66
30,2,"n",200.737253940587,88.0050418394835,174.703460246634,162.930499240149,626.376255266854,121,72,136,114,443,1.41394188547823,6,3,8,4,21,33.452,29.957,50.656,48.121,162.186
30,3,"e",220.674078107292,208.139292824609,60.1251307025657,75.1467218587419,564.085223493208,143,169,108,55,475,1.18754783893307,15,10,15,12,52,0.696,0.586,13.2,2.336,16.818
30,4,"w",194.023093924872,296.844294271874,236.042373297121,188.92158243757,915.831343931437,102,174,136,99,511,1.79223354976798,9,6,11,9,35,9.61,30.879,3.471,8.17,52.13
31,1,"w",118.632426253921,137.68416249926,305.30260036906,141.933274618524,703.552463740765,80,86,169,102,437,1.60995987126033,3,5,10,7,25,35.208,11.583,48.029,39.321,134.141
31,2,"s",238.248040466274,210.997894808873,90.7960609546405,58.5648613741384,598.606857603926,115,99,57,30,301,1.98872710167417,3,3,5,5,16,22.606,19.059,11.129,1.558,54.352
31,3,"n",166.258470591143,264.572951625841,480.466300770381,NA,911.297722987365,143,176,251,NA,570,1.59876793506555,19,9,8,NA,36,40.435,36.976,4.414,NA,81.825
31,4,"e",404.134991725105,162.370877763449,273.629530955976,159.707961114581,999.84336155911,275,78,159,69,581,1.72090079442188,12,3,8,4,27,0.1,0.252,9.003,0.219,9.574
32,1,"e",206.205287596063,235.489981064492,94.7537814633621,25.3380716688883,561.787121792805,103,161,58,15,337,1.66702410027539,4,8,8,5,25,0.844,21.528,4.791,0.824,27.987
32,2,"w",269.384551854911,244.616301079362,52.9213829807817,384.566010320591,951.488246235646,115,101,28,188,432,2.20251908850844,3,6,5,14,28,17.325,2.562,4.976,35.894,60.757
32,3,"s",136.262836621567,106.818109002254,274.497753335845,169.757418850025,687.336117809691,66,61,132,86,345,1.99227860234693,4,8,5,9,26,11.484,6.49,20.426,13.828,52.228
32,4,"n",76.7266824151575,198.563986217462,124.470618598078,266.87458723534,666.635874466038,51,101,118,150,420,1.58722827253819,8,7,3,9,27,5.183,10.598,53.375,28.364,97.52
33,1,"w",116.677039758722,325.667005595728,235.415357895147,159.361166712144,837.120569961742,70,148,127,102,447,1.87275295293455,2,4,10,3,19,28.079,34.2,7.068,42.356,111.703
33,2,"n",190.010406707239,192.196551152111,336.853682063431,151.582433243264,870.643073166045,110,109,153,86,458,1.90096740865949,6,3,5,2,16,36.034,36.997,25.882,32.065,130.978
33,3,"s",152.353286632167,117.364901649307,167.172887515538,149.651854670516,586.542930467528,113,69,98,103,383,1.53144368268284,5,3,4,4,16,36.449,21.366,20.118,28.768,106.701
33,4,"e",132.67438175715,125.930370667643,222.21302710179,37.0696523704913,517.887431897074,87,63,114,26,290,1.78581873067957,2,6,11,4,23,0.004,0.021,0.051,6.844,6.92
34,1,"s",75.5437696106333,249.861252478806,27.4249326818167,231.565419848379,584.395374619635,69,161,31,153,414,1.41158303048221,6,5,2,5,18,38.861,72.603,19.37,70.661,201.495
34,2,"w",280.374641304068,182.104585865841,280.822145305711,200.234731752967,943.536104228588,165,105,130,96,496,1.90229053271893,6,5,2,7,20,46.881,0.524,20.258,20.77,88.433
34,3,"n",237.448482130207,227.73727385451,194.29731226225,45.6800809485562,705.163149195522,226,163,107,31,527,1.33807049183211,15,17,14,6,52,100.775,57.076,15.555,9.531,182.937
34,4,"e",159.542366049778,267.687550839723,75.1336033947231,34.6879694466154,537.051489730839,109,170,56,29,364,1.47541618057923,12,15,7,4,38,0.02,40.063,20.251,8.751,69.085
35,1,"e",203.119069299186,218.78364657906,80.7986007476911,25.9417752976107,528.643091923548,81,97,36,18,232,2.27863401691185,2,2,2,3,9,0.116,7.156,4.661,0.063,11.996
35,2,"s",283.036974624499,147.966939268526,86.27829271726,43.3902412503036,560.672447860589,116,64,33,17,230,2.43770629504604,1,1,4,1,7,15.453,3.74,1.021,0.001,20.215
35,3,"w",192.262613050266,58.7473372063073,220.430278508235,96.2722788615209,567.71250762633,81,43,128,60,312,1.81959137059721,6,9,21,4,40,9.165,3.161,24.044,25.306,61.676
35,4,"n",60.2185877676199,181.436800186837,158.550006293422,238.819302104154,639.024696352033,41,77,97,227,442,1.44575723156568,5,3,5,20,33,12.646,7.741,34.809,77.867,133.063
36,1,"n",66.7440786158939,245.19509884369,113.028527734386,187.215152483835,612.182857677806,50,135,59,102,346,1.76931461756591,2,3,2,5,12,24.826,48.099,17.677,30.804,121.406
36,2,"e",237.318516226784,79.2890879837822,142.772441282221,122.199488523786,581.579534016573,111,54,69,61,295,1.97145604751381,5,4,4,3,16,0.005,0.134,0.003,0.002,0.144
36,3,"s",145.162936691048,100.482997860794,76.0525960295108,167.360074790945,489.058605372298,90,67,58,94,309,1.58271393324368,5,6,3,7,21,26.982,18.984,21.103,16.538,83.607
