"","id","scenario_id","action_type_re","t_id","p_desc","task_time","count_task_phases","task_phase_time_sum","phase_perc"
"862","38","4","set_navigation",4,"navigating",189.594000101089,1,177.882000207901,0.938225893820776
"863","39","1","task_accepted",1,"planning",31.9349999427795,1,7.01900005340576,0.219790200907539
"864","39","1","set_navigation",1,"navigating",31.9349999427795,1,24.9159998893738,0.780209799092461
"865","39","1","task_accepted",2,"planning",112.556999921799,1,8.7590000629425,0.0778183504271436
"866","39","1","set_navigation",2,"navigating",112.556999921799,1,103.797999858856,0.922181649572856
"867","39","1","task_accepted",3,"planning",63.920000076294,1,4.13199996948242,0.0646433035755715
"868","39","1","set_navigation",3,"navigating",63.920000076294,1,59.7880001068115,0.935356696424429
"869","39","1","task_accepted",4,"planning",81.5490000247955,1,11.5780000686646,0.14197599069448
"870","39","1","set_navigation",4,"navigating",81.5490000247955,1,69.970999956131,0.85802400930552
"871","39","2","task_accepted",1,"planning",109.289000034332,1,10.5659999847412,0.0966794460688815
"872","39","2","set_navigation",1,"navigating",109.289000034332,1,98.7230000495911,0.903320553931119
"873","39","2","task_accepted",2,"planning",45.3369998931885,1,3.65299987792969,0.0805743628060074
"874","39","2","set_navigation",2,"navigating",45.3369998931885,1,41.6840000152588,0.919425637193993
"875","39","2","task_accepted",3,"planning",65.677000284195,1,2.28300023078918,0.0347610308161194
"876","39","2","set_navigation",3,"navigating",65.677000284195,1,63.3940000534058,0.96523896918388
"877","39","2","task_accepted",4,"planning",137.65700006485,1,5.4539999961853,0.0396202154166947
"878","39","2","set_navigation",4,"navigating",137.65700006485,1,132.203000068665,0.960379784583305
"879","39","3","task_accepted",1,"planning",107.573999881744,1,28.5859999656677,0.265733355616526
"880","39","3","set_navigation",1,"navigating",107.573999881744,1,78.9879999160767,0.734266644383474
"881","39","3","task_accepted",2,"planning",109.077000141144,1,13.5080001354218,0.123839123902772
"882","39","3","set_navigation",2,"navigating",109.077000141144,1,95.569000005722,0.876160876097228
"883","39","3","task_accepted",3,"planning",83.0590000152588,1,8.21000003814697,0.0988453994948014
"884","39","3","set_navigation",3,"navigating",83.0590000152588,1,74.8489999771118,0.901154600505199
"885","39","3","task_accepted",4,"planning",109.131000041962,1,10.4990000724792,0.0962054784473917
"886","39","3","set_navigation",4,"navigating",109.131000041962,1,98.6319999694824,0.903794521552608
"887","39","4","task_accepted",1,"planning",90.3489999771118,1,15.835000038147,0.175264806939296
"888","39","4","set_navigation",1,"navigating",90.3489999771118,1,74.5139999389648,0.824735193060704
"889","39","4","task_accepted",2,"planning",147.955999851227,1,10.0939998626709,0.0682229843522442
"890","39","4","set_navigation",2,"navigating",147.955999851227,1,137.861999988556,0.931777015647756
"891","39","4","task_accepted",3,"planning",203.033000230789,1,6.95000004768372,0.0342308887707102
"892","39","4","set_navigation",3,"navigating",203.033000230789,1,196.083000183105,0.96576911122929
"893","39","4","task_accepted",4,"planning",76.188000202179,1,2.8600001335144,0.0375387216612178
"894","39","4","set_navigation",4,"navigating",76.188000202179,1,73.3280000686646,0.962461278338782
"895","40","1","task_accepted",1,"planning",51.6870000362396,1,3.80299997329712,0.0735774947400835
"896","40","1","set_navigation",1,"navigating",51.6870000362396,1,47.8840000629425,0.926422505259916
"897","40","1","task_accepted",2,"planning",52.9210000038147,1,4.47099995613098,0.0844844193384233
"898","40","1","set_navigation",2,"navigating",52.9210000038147,1,48.4500000476837,0.915515580661577
"899","40","1","task_accepted",3,"planning",155.53400015831,1,42.7950000762939,0.275148842264297
"900","40","1","set_navigation",3,"navigating",155.53400015831,1,112.739000082016,0.724851157735703
"901","40","1","task_accepted",4,"planning",86.8949999809265,1,11.1089999675751,0.127843949249249
"902","40","1","set_navigation",4,"navigating",86.8949999809265,1,75.7860000133514,0.872156050750751
"903","40","2","task_accepted",1,"planning",98.1989998817444,1,6.64499998092651,0.0676687134179444
"904","40","2","set_navigation",1,"navigating",98.1989998817444,1,91.5539999008179,0.932331286582056
"905","40","2","task_accepted",2,"planning",67.2579996585846,1,3.35799980163574,0.0499271435172268
"906","40","2","set_navigation",2,"navigating",67.2579996585846,1,63.8999998569489,0.950072856482773
"907","40","2","task_accepted",3,"planning",134.723000049591,1,2.81299996376038,0.0208798791796866
"908","40","2","set_navigation",3,"navigating",134.723000049591,1,131.910000085831,0.979120120820313
"909","40","2","task_accepted",4,"planning",74.4799997806549,1,3.17999982833862,0.0426960235996749
"910","40","2","set_navigation",4,"navigating",74.4799997806549,1,71.2999999523163,0.957303976400325
"911","40","3","task_accepted",1,"planning",97.6890001296997,1,11.2769999504089,0.115437766129622
"912","40","3","set_navigation",1,"navigating",97.6890001296997,1,86.4120001792908,0.884562233870377
"913","40","3","task_accepted",2,"planning",87.8159999847412,1,4.85600018501282,0.0552974422184635
"914","40","3","set_navigation",2,"navigating",87.8159999847412,1,82.9599997997284,0.944702557781537
"915","40","3","task_accepted",3,"planning",60.3210003376007,1,3.51800012588501,0.0583213160623281
"916","40","3","set_navigation",3,"navigating",60.3210003376007,1,56.8030002117157,0.941678683937672
"917","40","3","task_accepted",4,"planning",71.1630001068115,1,20.0099999904633,0.281185446937726
"918","40","3","set_navigation",4,"navigating",71.1630001068115,1,51.1530001163483,0.718814553062274
"919","40","4","task_accepted",1,"planning",72.5950000286102,1,16.0680000782013,0.221337558673032
"920","40","4","set_navigation",1,"navigating",72.5950000286102,1,56.5269999504089,0.778662441326968
"921","40","4","task_accepted",2,"planning",154.250999927521,1,13.7639999389648,0.0892311877746806
"922","40","4","set_navigation",2,"navigating",154.250999927521,1,140.486999988556,0.91076881222532
"923","40","4","task_accepted",3,"planning",29.0829997062683,1,11.9559998512268,0.411099266649922
"924","40","4","set_navigation",3,"navigating",29.0829997062683,1,17.1269998550415,0.588900733350078
"925","40","4","task_accepted",4,"planning",45.6679999828339,1,2.25799989700317,0.0494438096227541
"926","40","4","set_navigation",4,"navigating",45.6679999828339,1,43.4100000858307,0.950556190377246
"927","41","1","task_accepted",1,"planning",119.488000154495,1,21.9270000457764,0.183507967473096
"928","41","1","set_navigation",1,"navigating",119.488000154495,1,97.5610001087189,0.816492032526904
"929","41","1","task_accepted",2,"planning",106.003000020981,1,12.7950000762939,0.120704131711003
"930","41","1","set_navigation",2,"navigating",106.003000020981,1,93.2079999446869,0.879295868288997
"931","41","1","task_accepted",3,"planning",80.6570000648499,1,28.8289999961853,0.357427129362687
"932","41","1","set_navigation",3,"navigating",80.6570000648499,1,51.8280000686646,0.642572870637313
"933","41","1","task_accepted",4,"planning",127.28600025177,1,23.3380000591278,0.183350879224467
"934","41","1","set_navigation",4,"navigating",127.28600025177,1,103.948000192642,0.816649120775533
"935","41","2","task_accepted",1,"planning",150.459000110626,1,17.1070001125336,0.113698749160605
"936","41","2","set_navigation",1,"navigating",150.459000110626,1,133.351999998093,0.886301250839395
"937","41","2","task_accepted",2,"planning",103.005000114441,1,20.5369999408722,0.199378670142761
"938","41","2","set_navigation",2,"navigating",103.005000114441,1,82.4680001735687,0.800621329857239
"939","41","2","task_accepted",3,"planning",48.4210002422333,1,11.7440001964569,0.242539396908486
"940","41","2","set_navigation",3,"navigating",48.4210002422333,1,36.6770000457764,0.757460603091514
"941","41","2","task_accepted",4,"planning",61.6299998760223,1,37.3159999847412,0.605484343011646
"942","41","2","set_navigation",4,"navigating",61.6299998760223,1,24.3139998912811,0.394515656988354
"943","41","3","task_accepted",1,"planning",116.884999990463,1,15.2139999866486,0.130162125062154
"944","41","3","set_navigation",1,"navigating",116.884999990463,1,101.671000003815,0.869837874937846
"945","41","3","task_accepted",2,"planning",131.294999837875,1,18.345999956131,0.139731139638104
"946","41","3","set_navigation",2,"navigating",131.294999837875,1,112.948999881744,0.860268860361896
"947","41","3","task_accepted",3,"planning",117.288000106812,1,21.6790001392365,0.184835619325881
"948","41","3","set_navigation",3,"navigating",117.288000106812,1,95.6089999675751,0.81516438067412
"949","41","3","task_accepted",4,"planning",59.0060000419617,1,27.4110000133514,0.464545978270995
"950","41","3","set_navigation",4,"navigating",59.0060000419617,1,31.5950000286102,0.535454021729005
"951","41","4","task_accepted",1,"planning",115.318999767303,1,31.5679998397827,0.273745002154738
"952","41","4","set_navigation",1,"navigating",115.318999767303,1,83.7509999275208,0.726254997845262
"953","41","4","task_accepted",2,"planning",186.579999923706,1,24.816999912262,0.133009968498284
"954","41","4","set_navigation",2,"navigating",186.579999923706,1,161.763000011444,0.866990031501716
"955","41","4","task_accepted",3,"planning",132.453000068665,1,16.2990000247955,0.123054970565756
"956","41","4","set_navigation",3,"navigating",132.453000068665,1,116.154000043869,0.876945029434244
"957","41","4","task_accepted",4,"planning",77.9539997577667,1,16.9729998111725,0.217730967800423
"958","41","4","set_navigation",4,"navigating",77.9539997577667,1,60.9809999465942,0.782269032199577
"959","42","1","task_accepted",1,"planning",37.8980000019073,1,5.49399995803833,0.144968071079261
"960","42","1","set_navigation",1,"navigating",37.8980000019073,1,32.404000043869,0.855031928920739
"961","42","1","task_accepted",2,"planning",72.9609999656677,1,8.78600001335144,0.120420498862211
"962","42","1","set_navigation",2,"navigating",72.9609999656677,1,64.1749999523163,0.879579501137789
"963","42","1","task_accepted",3,"planning",59.9320001602173,1,11.8050000667572,0.196973236921823
"964","42","1","set_navigation",3,"navigating",59.9320001602173,1,48.1270000934601,0.803026763078177
"965","42","1","task_accepted",4,"planning",68.0329999923706,1,10.095999956131,0.148398570653406
"966","42","1","set_navigation",4,"navigating",68.0329999923706,1,57.9370000362396,0.851601429346594
"967","42","2","task_accepted",1,"planning",96.8989999294281,1,4.51600003242493,0.046605228492698
"968","42","2","set_navigation",1,"navigating",96.8989999294281,1,92.3829998970032,0.953394771507302
"969","42","2","task_accepted",2,"planning",47.4089999198914,1,6.41499996185303,0.135311860041188
"970","42","2","set_navigation",2,"navigating",47.4089999198914,1,40.9939999580383,0.864688139958812
"971","42","2","task_accepted",3,"planning",69.3039999008179,1,12.6889998912811,0.183091883721583
"972","42","2","set_navigation",3,"navigating",69.3039999008179,1,56.6150000095367,0.816908116278417
